異,イ(異常),Uncommon (Strangeness),878
婦,(主婦)フ,Woman,879
寄,よ。る,To Draw Near,880
許,ゆる。す,To Permit,881
婚,(結婚)コン,Marriage,882
略,(戦略)リャク,Outline (Strategy),883
混,コン(混血),Mixed,884
著,チョ(著者),Author,885
欲,ほ。しい,Want,886
郵,ユウ(郵便),Mail,887
探,さが。す,To Search,888
閉,し。める,To Shut,889
盗,ぬす。む,To Steal,890
翌,よく,The Following,891
袋,ふくろ,Bag,892
窓,まど,Window,893
液,エキ,Liquid,894
貧,まず。しい  ヒン,Poor,895
掃,ソウ(掃除),Sweep,896
掘,ほ。る,To Dig,897
捨,す。てる,To Throw Away,898
軟,ナン(軟化),Soft,899
頂,チョウ(頂上),Summit,900
乾,かわ。く,To Dry,901
偶,グウ(偶然),By Chance,902
粒,リュウ(粒子),Grain,903
猫,ねこ,Cat,904
菓,カ(お菓子),Candy,905
涼,すず。しい,Cool,906
符,(切符)フ,Mark,907
報,ホウ(報告),Report,908
減,へ。る,To Decrease,909
過,す。ぎる,To Exceed,910
税,ゼイ(税金),Tax,911
検,ケン(検査),Inspection,912
営,エイ(営業),Business,913
割,(役割)わり,Part,914
補,(候補)ホ,Supply (Candidate),915
準,ジュン(準備),Correspond To,916
備,(準備)ビ,Preparation,917
復,フク(復活),Restore,918
渡,わた。す,To Traverse,919
評,(批評)ヒョウ,Evaluate,920
程,テイ(程度),Degree,921
湾,(港湾)ワン,Bay,922
超,チョウ(超人),Super,923
幅,はば,Width,924
富,フ(富者),Wealth,925
貿,ボウ(貿易),Trade,926
装,(偽装)ソウ,Attire (Camo),927
換,(交換)カン,Exchange,928
普,フ(普通),Universal,929
測,(観測)ソク,Observation,930
善,ゼン,Virtuous,931
絶,ゼッ(絶対),Discontinue,932
絡,(連絡)ラク,Entwine,933
募,ボ(募集),Recruit,934
勤,つと。めています,To Work For,935
遅,おそ。い,Slow,936
越,(引っ越す)こ,To Move To,937
雇,やと。う,To Employ,938
替,(着替え)か,Exchange,939
奥,おく。さん,Wife,940
敬,ケイ(敬語),Respect ,941
御,お  ご,Honourable,942
硬,かた。い,Hard,943
腕,うで,Arm,944
尊,ソン(尊敬),Revered,945
喫,キツ(喫茶店),Consume,946
晩,ばん,Evening,947
棒,(鉄棒)ボウ,Rod,948
湿,シツ(湿度),Humidity,949
